split,AUC,AUC_CI95_lo,AUC_CI95_hi,Accuracy,Sensitivity,Specificity,Threshold
train,0.833319,0.801009,0.861615,0.764098,0.733083,0.774436,0.253112
val,0.645660,0.526096,0.758055,0.664474,0.631579,0.675439,0.253112
test,0.809062,0.746161,0.864547,0.769231,0.692308,0.794872,0.253112
