image,imin,imax,iavg,ient,istd,ip05,ip95,iba1,iba2,ip30,ip70,iske,ikur,iran,cene,ccor,ccon,chom,cent,rsre,rlre,rgln,rrpe,rrln,rlgr,rhgr,sgra,slap,swas,swav,swar,stev
139ca_210_L_CC.png,8696,57987,39597.7745830341,5.99861036946137,5125.16426844687,36081,45711,1.73830459491424,1.46875023260253,38531,41164.6,-3.2218344143504,19.2021726872986,49291,0.00680346207233811,0.964054465353249,11.5093959845463,0.505359545352546,8.0961840604869,0.917081072074278,1.40841523564126,2557.29996345076,0.890086095215534,96825.6233162717,0.000386709264015416,26560.8725757766,6007.20584096178,1377.93873396356,415.864354900021,56784.609610961,0.988277358698266,8843.04691317089
139ca_210_L_MLO.png,3789,59962,40439.4031130009,6.30406998558125,6226.42718635733,34886,47422,1.25735458869396,1.62989195699799,38494,43610.2,-2.85415093507717,16.3876427499029,56173,0.00515382803571103,0.971452283093368,10.418043436164,0.529796898332557,8.27604188015747,0.907872751514558,1.48700601504975,2440.90944002342,0.876891290173372,123830.960850761,0.000711686158287533,28791.2847105667,6327.3318979653,1428.72138474485,431.880129078441,68392.469244405,1.11189322105134,9820.13010015162
139ca_210_R_CC.png,5387,62175,43010.4212659086,6.02432251964139,6270.8686915716,38455.7,49784,1.48715548957751,2.20223421339274,42092,45033,-3.45049614324437,19.1785771284844,56788,0.00614335831587544,0.965351905601683,12.6115859018277,0.488917100938229,8.23425942135715,0.923554828215455,1.37135757518001,2448.23035151397,0.898629857323349,95515.8509978334,0.000176108718202453,29634.0997194567,7425.17203762748,1706.68804505254,518.442755412313,92129.1242858113,1.44256542700129,10429.8702639429
139ca_210_R_MLO.png,4730,59752,42115.6828982793,6.22835896568705,6267.30850466998,37114,49056,1.38759638363087,1.77389506315231,40740,44556,-3.26884153611053,18.6821952979289,55022,0.00494798726211809,0.970131835769061,11.5273479614294,0.496138435030424,8.37505823784745,0.920973188818923,1.38942274687266,2342.78107606384,0.895193595796429,112008.366547565,0.000930457136211894,31163.4367884512,6739.01366011558,1639.14979775515,502.763980195514,84593.3340277391,1.3739107052129,9691.46797466049
139co_139_L_CC.png,2280,64632,45147.4935413792,5.98863276520277,7251.34578210403,40776.2,52276,1.63075446458616,2.27712602053531,43944,47888,-3.69352259207639,20.4241585578135,62352,0.0109586937404223,0.9777334065432,8.98005297951762,0.634411184246188,7.39612732416581,0.851786789207933,1.93631039553302,2205.31287409232,0.800307518421748,74351.1882562732,0.0018541384208141,31837.9065568014,5651.26799308921,922.273177641429,261.140305894611,30125.592262918,0.401975039659851,11340.3840312109
139co_139_L_MLO.png,2041,55041,42569.1183186424,5.95500366808512,6208.52616086062,39285,50035,2.2733290816525,1.53567298316677,41358,44429,-3.85724842323897,23.6855165803977,53000,0.0105987148215721,0.977492196633673,9.10054827711173,0.599298984061393,7.51403646762477,0.873441829989813,1.74873275892017,3070.76381879766,0.830324698686814,99784.4497692087,0.000928010960936258,39244.7169358758,5077.67421300757,936.923709300234,271.865360094406,29042.5348674747,0.432981811025453,9446.4079364734
139co_139_R_CC.png,2659,65224,49090.097307252,6.10789562570965,7898.11448029423,44091,56823.65,1.54698982984972,2.44377873215632,47919,51952,-3.71059233569993,20.0651266972142,62565,0.00880128471645109,0.979646066200345,9.71256688521014,0.596545281042463,7.70621514755393,0.874710185874817,1.73495098317843,2185.14236728181,0.830817992420202,84475.0088853326,0.00149114912950335,37165.0649717883,6368.50293908482,1059.4675441029,307.844320966173,38049.2813180562,0.48599883923915,11508.8354879886
139co_139_R_MLO.png,3047,64368,44825.3977831337,6.09067054422173,7619.1552362765,38447,52569,1.21403563718504,2.44228757918237,43675,47635,-3.30345732851434,16.9658269952722,61321,0.00969935352630428,0.978813572191559,9.65716029141577,0.589829786983614,7.71784106417277,0.877181263503583,1.73028258063523,2774.51466977887,0.833620185653606,101699.102535329,0.00135244963501154,31505.7876257565,6559.51593384477,1055.97092898392,304.701950110811,39994.6666967497,0.54461109435923,11060.9086654547
140ca_211_L_CC.png,767,63536,45277.5888502068,6.4575927199838,5791.99502927131,34721,52621,0.695623487282959,1.55417733226549,42920,48941.7,-1.26685364858692,7.561891106364,62769,0.00396754200287425,0.963077874468434,9.74046986988983,0.502175513270818,8.58928752626637,0.919507460492569,1.38919794909007,3935.15059733875,0.893790325594141,232554.34273425,0.000105230344379519,33656.063285711,6486.19593958154,2130.95103943501,669.184508973992,276066.142003161,3.17956544700041,10067.0330988091
140ca_211_L_MLO.png,0,61453,40422.3971371834,6.44860173999705,5404.90106135521,30969,47897,0.79067902832692,1.40280983211469,38128,43641,-1.01079482399231,6.88371819276239,61453,0.003988453362524,0.959730078888438,9.68656989632582,0.505084504102081,8.57380753960937,0.918262717407599,1.39710841455606,4033.35092199611,0.892091012289325,240535.317137868,6.82293657919527e-05,29013.5559644834,6314.82369106698,2024.14068476369,640.218542940664,277090.819120492,3.48324374561965,9327.85768659332
140ca_211_R_CC.png,795,65535,42779.3302850413,6.04255916671689,4746.34694621025,34137,48436,0.654530610193129,1.54761474294175,40896,45694,-1.65353908996118,10.5819476863329,64740,0.00627110814394399,0.948529941103755,8.47797867376402,0.52896650179686,8.01242606952374,0.909913883368616,1.4469271072819,5555.01323252292,0.881173692559123,231843.303516916,0.000125954768661534,28038.4391866443,5905.75283961389,2008.69858861277,637.25429307861,288274.408618938,3.34748058990797,9845.86746571607
140ca_211_R_MLO.png,768,63795,41785.020628344,6.16509963370328,4846.21618572682,33173,47813,0.699949481288582,1.47272020833423,39712,44838,-1.42797693593802,9.26107251167156,63027,0.00504942999104227,0.947146165599175,9.58600487689661,0.508605486735899,8.26630854062392,0.917290951510981,1.40408590113382,4946.49245691364,0.890657795760892,236562.009374613,0.000106540312579214,28277.2459789882,6257.07001899851,2098.18574912342,667.677040190942,314293.812291095,3.76440569345523,9682.12740176651
140co_140_L_CC.png,780,63745,40021.6614493302,6.04579496961014,4824.07147434468,34124,48953,1.51438644408526,0.566038620029979,37894,41226,-0.514788347689721,11.470203216301,62965,0.00692562973638747,0.927828940165246,12.7723098424792,0.515179085788168,8.12904158067328,0.914545580021296,1.42109221834558,2799.79508323745,0.886961835566119,105074.485212601,0.000174929221548609,25931.6342863144,6686.49244388979,2186.12558745678,689.498897354021,408371.205369267,4.78479458055249,12519.8137339676
