Final_Model,Selector,k,Best_Params,AUC_Train,AUC_Val,AUC_Test
GradientBoosting,PCA,20,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__min_samples_leaf': 20, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'pca__n_components': 20}",0.976934818248629,0.7756232686980609,0.752794214332676
RandomForest,PCA,20,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 20, 'clf__n_estimators': 1000, 'pca__n_components': 20}",0.8910057097631295,0.7506925207756232,0.7606837606837608
